name,# statements,order,group size,fullness,# arrays,# rhs array refs,# rhs uniq array refs,# rhs ops (excluding indices)
3_stmts_recurrence_1_order_14_atoms_v3,3,1,3,4.67,3,14,3,11
3_stmts_recurrence_1_order_15_atoms_v1,3,1,3,5.00,3,15,3,12
3_stmts_recurrence_1_order_15_atoms_v2,3,1,3,5.00,3,15,3,12
3_stmts_recurrence_1_order_15_atoms_v3,3,1,3,5.00,3,15,3,12
3_stmts_recurrence_1_order_16_atoms_v1,3,1,3,5.33,3,16,3,13
3_stmts_recurrence_1_order_16_atoms_v2,3,1,3,5.33,3,16,3,13
3_stmts_recurrence_1_order_16_atoms_v3,3,1,3,5.33,3,16,3,13
3_stmts_recurrence_1_order_17_atoms_v1,3,1,3,5.67,3,17,3,14
3_stmts_recurrence_1_order_17_atoms_v2,3,1,3,5.67,3,17,3,14
3_stmts_recurrence_1_order_17_atoms_v3,3,1,3,5.67,3,17,3,14
3_stmts_recurrence_1_order_18_atoms_v1,3,1,3,6.00,3,18,3,15
3_stmts_recurrence_1_order_18_atoms_v2,3,1,3,6.00,3,18,3,15
3_stmts_recurrence_1_order_18_atoms_v3,3,1,3,6.00,3,18,3,15
3_stmts_recurrence_2_order_03_atoms_v1,3,2,1,1.00,3,3,3,0
3_stmts_recurrence_2_order_03_atoms_v2,3,2,1,1.00,3,3,3,0
3_stmts_recurrence_2_order_03_atoms_v3,3,2,1,1.00,3,3,3,0
3_stmts_recurrence_2_order_04_atoms_v1,3,2,1,1.33,3,4,3,1
3_stmts_recurrence_2_order_04_atoms_v2,3,2,1,1.33,3,4,3,1
3_stmts_recurrence_2_order_04_atoms_v3,3,2,2,1.33,3,4,4,1
3_stmts_recurrence_2_order_05_atoms_v1,3,2,3,1.67,3,5,5,2
3_stmts_recurrence_2_order_05_atoms_v2,3,2,1,1.67,3,5,4,2
3_stmts_recurrence_2_order_05_atoms_v3,3,2,3,1.67,3,5,4,2
3_stmts_recurrence_2_order_06_atoms_v1,3,2,3,2.00,3,6,4,3
3_stmts_recurrence_2_order_06_atoms_v2,3,2,2,2.00,3,6,4,3
3_stmts_recurrence_2_order_06_atoms_v3,3,2,2,2.00,3,6,5,3
3_stmts_recurrence_2_order_07_atoms_v1,3,2,3,2.33,3,7,4,4
3_stmts_recurrence_2_order_07_atoms_v2,3,2,3,2.33,3,7,5,4
3_stmts_recurrence_2_order_07_atoms_v3,3,2,3,2.33,3,7,4,4
3_stmts_recurrence_2_order_08_atoms_v1,3,2,3,2.67,3,8,5,5
3_stmts_recurrence_2_order_08_atoms_v2,3,2,3,2.67,3,8,6,5
3_stmts_recurrence_2_order_08_atoms_v3,3,2,3,2.67,3,8,5,5
3_stmts_recurrence_2_order_09_atoms_v1,3,2,3,3.00,3,9,4,6
3_stmts_recurrence_2_order_09_atoms_v2,3,2,2,3.00,3,9,4,6
3_stmts_recurrence_2_order_09_atoms_v3,3,2,3,3.00,3,9,5,6
3_stmts_recurrence_2_order_10_atoms_v1,3,2,3,3.33,3,10,4,7
3_stmts_recurrence_2_order_10_atoms_v2,3,2,3,3.33,3,10,6,7
3_stmts_recurrence_2_order_10_atoms_v3,3,2,3,3.33,3,10,4,7
3_stmts_recurrence_2_order_11_atoms_v1,3,2,3,3.67,3,11,6,8
3_stmts_recurrence_2_order_11_atoms_v2,3,2,3,3.67,3,11,6,8
3_stmts_recurrence_2_order_11_atoms_v3,3,2,3,3.67,3,11,5,8
3_stmts_recurrence_2_order_12_atoms_v1,3,2,3,4.00,3,12,6,9
3_stmts_recurrence_2_order_12_atoms_v2,3,2,3,4.00,3,12,5,9
3_stmts_recurrence_2_order_12_atoms_v3,3,2,3,4.00,3,12,4,9
3_stmts_recurrence_2_order_13_atoms_v1,3,2,3,4.33,3,13,5,10
3_stmts_recurrence_2_order_13_atoms_v2,3,2,3,4.33,3,13,5,10
3_stmts_recurrence_2_order_13_atoms_v3,3,2,3,4.33,3,13,6,10
3_stmts_recurrence_2_order_14_atoms_v1,3,2,3,4.67,3,14,5,11
3_stmts_recurrence_2_order_14_atoms_v2,3,2,3,4.67,3,14,6,11
3_stmts_recurrence_2_order_14_atoms_v3,3,2,3,4.67,3,14,5,11
3_stmts_recurrence_2_order_15_atoms_v1,3,2,3,5.00,3,15,6,12
3_stmts_recurrence_2_order_15_atoms_v2,3,2,3,5.00,3,15,6,12
3_stmts_recurrence_2_order_15_atoms_v3,3,2,3,5.00,3,15,6,12
3_stmts_recurrence_2_order_16_atoms_v1,3,2,3,5.33,3,16,6,13
3_stmts_recurrence_2_order_16_atoms_v2,3,2,3,5.33,3,16,5,13
3_stmts_recurrence_2_order_16_atoms_v3,3,2,3,5.33,3,16,6,13
3_stmts_recurrence_2_order_17_atoms_v1,3,2,3,5.67,3,17,6,14
3_stmts_recurrence_2_order_17_atoms_v2,3,2,3,5.67,3,17,6,14
3_stmts_recurrence_2_order_17_atoms_v3,3,2,3,5.67,3,17,6,14
3_stmts_recurrence_2_order_18_atoms_v1,3,2,3,6.00,3,18,6,15
3_stmts_recurrence_2_order_18_atoms_v2,3,2,3,6.00,3,18,5,15
3_stmts_recurrence_2_order_18_atoms_v3,3,2,3,6.00,3,18,6,15
3_stmts_recurrence_3_order_03_atoms_v1,3,3,1,1.00,3,3,3,0
3_stmts_recurrence_3_order_03_atoms_v2,3,3,1,1.00,3,3,3,0
3_stmts_recurrence_3_order_03_atoms_v3,3,3,1,1.00,3,3,3,0
3_stmts_recurrence_3_order_04_atoms_v1,3,3,2,1.33,3,4,4,1
3_stmts_recurrence_3_order_04_atoms_v2,3,3,2,1.33,3,4,4,1
3_stmts_recurrence_3_order_04_atoms_v3,3,3,1,1.33,3,4,4,1
3_stmts_recurrence_3_order_05_atoms_v1,3,3,2,1.67,3,5,5,2
3_stmts_recurrence_3_order_05_atoms_v2,3,3,3,1.67,3,5,5,2
3_stmts_recurrence_3_order_05_atoms_v3,3,3,2,1.67,3,5,4,2
3_stmts_recurrence_3_order_06_atoms_v1,3,3,2,2.00,3,6,5,3
3_stmts_recurrence_3_order_06_atoms_v2,3,3,2,2.00,3,6,5,3
3_stmts_recurrence_3_order_06_atoms_v3,3,3,2,2.00,3,6,5,3
3_stmts_recurrence_3_order_07_atoms_v1,3,3,3,2.33,3,7,6,4
3_stmts_recurrence_3_order_07_atoms_v2,3,3,3,2.33,3,7,5,4
3_stmts_recurrence_3_order_07_atoms_v3,3,3,2,2.33,3,7,5,4
3_stmts_recurrence_3_order_08_atoms_v1,3,3,3,2.67,3,8,7,5
3_stmts_recurrence_3_order_08_atoms_v2,3,3,3,2.67,3,8,5,5
3_stmts_recurrence_3_order_08_atoms_v3,3,3,3,2.67,3,8,5,5
3_stmts_recurrence_3_order_09_atoms_v1,3,3,2,3.00,3,9,6,6
3_stmts_recurrence_3_order_09_atoms_v2,3,3,3,3.00,3,9,6,6
3_stmts_recurrence_3_order_09_atoms_v3,3,3,3,3.00,3,9,6,6
3_stmts_recurrence_3_order_10_atoms_v1,3,3,3,3.33,3,10,7,7
3_stmts_recurrence_3_order_10_atoms_v2,3,3,3,3.33,3,10,7,7
3_stmts_recurrence_3_order_10_atoms_v3,3,3,3,3.33,3,10,4,7
3_stmts_recurrence_3_order_11_atoms_v1,3,3,3,3.67,3,11,7,8
3_stmts_recurrence_3_order_11_atoms_v2,3,3,3,3.67,3,11,7,8
3_stmts_recurrence_3_order_11_atoms_v3,3,3,3,3.67,3,11,7,8
3_stmts_recurrence_3_order_12_atoms_v1,3,3,3,4.00,3,12,8,9
3_stmts_recurrence_3_order_12_atoms_v2,3,3,3,4.00,3,12,8,9
3_stmts_recurrence_3_order_12_atoms_v3,3,3,3,4.00,3,12,7,9
3_stmts_recurrence_3_order_13_atoms_v1,3,3,3,4.33,3,13,7,10
3_stmts_recurrence_3_order_13_atoms_v2,3,3,3,4.33,3,13,7,10
3_stmts_recurrence_3_order_13_atoms_v3,3,3,3,4.33,3,13,7,10
3_stmts_recurrence_3_order_14_atoms_v1,3,3,3,4.67,3,14,6,11
3_stmts_recurrence_3_order_14_atoms_v2,3,3,3,4.67,3,14,8,11
3_stmts_recurrence_3_order_14_atoms_v3,3,3,3,4.67,3,14,8,11
3_stmts_recurrence_3_order_15_atoms_v1,3,3,3,5.00,3,15,6,12
3_stmts_recurrence_3_order_15_atoms_v2,3,3,3,5.00,3,15,7,12
3_stmts_recurrence_3_order_15_atoms_v3,3,3,3,5.00,3,15,8,12
3_stmts_recurrence_3_order_16_atoms_v1,3,3,3,5.33,3,16,8,13
3_stmts_recurrence_3_order_16_atoms_v2,3,3,3,5.33,3,16,7,13
3_stmts_recurrence_3_order_16_atoms_v3,3,3,3,5.33,3,16,7,13
3_stmts_recurrence_3_order_17_atoms_v1,3,3,3,5.67,3,17,9,14
3_stmts_recurrence_3_order_17_atoms_v2,3,3,3,5.67,3,17,7,14
3_stmts_recurrence_3_order_17_atoms_v3,3,3,3,5.67,3,17,9,14
3_stmts_recurrence_3_order_18_atoms_v1,3,3,3,6.00,3,18,7,15
3_stmts_recurrence_3_order_18_atoms_v2,3,3,3,6.00,3,18,7,15
3_stmts_recurrence_3_order_18_atoms_v3,3,3,3,6.00,3,18,9,15
